,test_true,test_pred
2025-06-24,69.13,74.1013205460886
2025-06-25,68.4,69.13986597844597
2025-06-26,68.57,68.50691241327935
2025-06-27,69.37,68.6251111663479
2025-06-30,68.15,69.35584816443381
2025-07-01,67.63,68.16473942180767
2025-07-02,70.8,67.6384423805264
2025-07-03,70.42,70.96688216256308
2025-07-04,71.03,70.302691840002
2025-07-07,71.95,70.99677262666948
2025-07-08,72.5,72.07038354362199
2025-07-09,71.98,72.4159681997096
2025-07-10,70.38,71.95229727345797
2025-07-11,72.06,70.33602877846957
2025-07-14,70.96,72.16211598273013
2025-07-15,70.27,70.89760114065307
2025-07-16,69.67,70.1995291097797
2025-07-17,71.32,69.76318953904922
2025-07-18,71.06,71.34560529304305
2025-07-21,71.92,71.0311835201485
2025-07-22,69.69,71.91526830993388
2025-07-23,69.17,69.65437366479068
2025-07-24,70.42,69.14316199756674
2025-07-25,69.23,70.55271380771005
2025-07-28,70.87,69.09858458228253
2025-07-29,73.21,70.95255064835199
2025-07-30,73.98,73.32521136582581
2025-07-31,73.43,73.86407628387394
2025-08-01,70.55,73.40653968044612
2025-08-04,69.56,70.4752894092049
2025-08-05,69.14,69.57706758221963
2025-08-06,67.97,69.18330333500688
2025-08-07,66.99,67.89550545051509
2025-08-08,67.17,67.01877790836917
2025-08-11,67.36,67.23153865338169
2025-08-12,66.8,67.36200098626921
2025-08-13,66.25,66.76848457748667
2025-08-14,68.12,66.26183200308932
2025-08-15,67.3,68.21120547259757
2025-08-18,68.18,67.22509323350616
2025-08-19,66.62,68.18202072330755
2025-08-20,67.61,66.62474579537188
2025-08-21,68.41,67.60176028407304
2025-08-22,68.29,68.490117048139
2025-08-25,68.29,68.18854093732736
2025-08-26,66.89,68.32970580592672
2025-08-27,67.75,66.84659580059318
2025-08-28,68.61,67.7921432270384
2025-08-29,67.83,68.65516106153422
2025-09-01,67.09,67.72794097077411
2025-09-02,68.09,67.1105672395841
2025-09-03,67.76,68.164986194248
2025-09-04,66.41,67.7069858007154
2025-09-05,64.92,66.34276848404457
2025-09-08,65.44,64.9451903780611
2025-09-09,67.97,65.49361653770131
2025-09-10,67.62,68.05102542136733
2025-09-11,67.25,67.52721525073116
2025-09-12,67.87,67.22898250769306
2025-09-15,67.88,67.96427565903039
2025-09-16,69.69,67.81870547551672
2025-09-17,69.19,69.73541997049098
2025-09-18,67.83,69.15632358778672
2025-09-19,67.05,67.74126784203227
2025-09-22,66.87,67.11117250370846
2025-09-23,67.96,66.86448044955145
2025-09-24,69.64,67.9930472948977
2025-09-25,70.48,69.68370588064236
2025-09-26,71.15,70.45785624646827
2025-09-29,69.0,71.14898073327852
2025-09-30,68.52,68.91550520611666
2025-10-01,66.67,68.52547510768248
2025-10-02,65.44,66.66678272116836
2025-10-03,66.13,65.37927494711255
2025-10-06,67.09,66.25022665573212
2025-10-07,67.1,67.0965789225015
2025-10-08,67.42,67.0661580260874
2025-10-09,67.23,67.45030648707325
2025-10-10,64.41,67.22854560816187
2025-10-13,64.15,64.29122848209292
2025-10-14,63.0,64.21474592735314
2025-10-15,62.33,63.01862406695369
2025-10-16,61.08,62.2670211082293
2025-10-17,61.23,61.1231512488654
2025-10-20,60.71,61.252174704781964
2025-10-21,61.0,60.72092181822299
2025-10-22,62.28,60.99764730090479
2025-10-23,66.32,62.357282121124655
2025-10-24,65.8,66.40946110733336
2025-10-27,65.52,65.68255161790968
2025-10-28,64.03,65.45824221750522
2025-10-29,65.01,64.07836180020462
2025-10-30,65.11,64.99344432173808
2025-10-31,65.44,65.12832631625753
2025-11-03,65.79,65.39315341352224
2025-11-04,65.04,65.84637716480164
2025-11-05,63.54,64.98315707509015
2025-11-06,63.41,63.50306559226351
2025-11-07,63.72,63.45808114916947
2025-11-10,63.01,63.74131192425343
2025-11-11,63.86,62.9561613770329
2025-11-12,61.88,63.922577265492954
2025-11-13,62.14,61.81944569010789
2025-11-14,63.45,62.14830258875919
2025-11-17,63.16,63.57035320291372
2025-11-18,64.86,63.04762294045004
2025-11-19,63.78,64.93955380794334
2025-11-20,63.64,63.74171316263216
2025-11-21,62.78,63.5879248562007
2025-11-24,64.83,62.82776498566374
2025-11-25,63.99,64.86283228918572
2025-11-26,64.81,63.9523288114375
2025-11-27,64.18,64.79028083899112
2025-11-28,64.07,64.22933606417543
2025-12-01,64.22,64.00082362577922
2025-12-02,63.37,64.27915539695861
2025-12-03,63.75,63.30780261927795
2025-12-04,64.15,63.78716024924102
2025-12-05,64.42,64.18090283619557
2025-12-08,63.3,64.38692574987165
2025-12-09,62.62,63.27207531676441
2025-12-10,63.12,62.617991639523936
2025-12-11,61.87,63.17712313706738
2025-12-12,62.11,61.79663978569399
2025-12-15,61.55,62.137242134008886
2025-12-16,59.93,61.57953758202866
2025-12-17,60.61,59.838240419915415
2025-12-18,60.69,60.71119806184721
2025-12-19,61.35,60.69550549824737
2025-12-22,62.22,61.32367070221348
2025-12-23,63.7,62.28226998760705
2025-12-24,63.7,63.70692399304628
2025-12-25,63.7,63.663995641367606
2025-12-26,63.7,63.67697910687063
2025-12-29,63.1,63.72262134571065
2025-12-30,62.3,63.051457321742475
2025-12-31,61.35,62.28524676569038
2026-01-01,61.35,61.34797704937299
2026-01-02,61.98,61.37298729710932
2026-01-05,63.0,62.013607971244234
2026-01-06,62.1,63.011743590995
2026-01-07,61.08,62.05009773562782
2026-01-08,63.34,61.057569900254464
2026-01-09,65.11,63.47605811284464
2026-01-12,65.4,65.10274941194412
