,future_pred,lower,upper
2026-01-13,65.31242542038164,62.91647920364642,67.70837163711687
2026-01-14,65.3383518561308,61.88969108126706,68.78701263099454
2026-01-15,65.33421582329944,61.110696797200156,69.55773484939874
2026-01-16,65.30795655538392,60.462146610460536,70.15376650030731
2026-01-17,65.2984376052364,59.875798058060326,70.72107715241248
2026-01-18,65.30111102420474,59.37413904585427,71.22808300255522
2026-01-19,65.30141403196147,58.911191155264156,71.69163690865878
2026-01-20,65.301017753296,58.47947533178333,72.12256017480865
2026-01-21,65.30120998611046,58.07279439179653,72.5296255804244
2026-01-22,65.30147504763029,57.6885145930812,72.91443550217939
2026-01-23,65.30144514659634,57.32226475184736,73.28062554134532
2026-01-24,65.30141809360146,56.972103989685685,73.63073219751723
2026-01-25,65.30142396055689,56.63606669076864,73.96678123034513
2026-01-26,65.30142840614734,56.312617977895194,74.29023883439947
2026-01-27,65.30142307566005,56.00038900602736,74.60245714529275
2026-01-28,65.30142255811585,55.69831379641374,74.90453131981795
2026-01-29,65.30142321982312,55.40545479737216,75.19739164227408
2026-01-30,65.3014233826638,55.12101826485747,75.48182850047013
2026-01-31,65.30142316317492,54.8443143840857,75.75853194226414
2026-02-01,65.30142322879693,54.57474647186278,76.02809998573109
2026-02-02,65.30142325853444,54.311788743694905,76.29105777337398
2026-02-03,65.3014232547988,54.0549777050685,76.54786880452912
2026-02-04,65.30142324359092,53.80390136067797,76.79894512650387
2026-02-05,65.30142324858669,53.55819196803383,77.04465452913954
2026-02-06,65.30142324852478,53.31751935453265,77.28532714251692
2026-02-07,65.3014232480181,53.08158593053248,77.52126056550371
2026-02-08,65.30142324766368,52.850122284993304,77.75272421033405
2026-02-09,65.30142324801393,52.6228836150799,77.97996288094797
2026-02-10,65.30142324794447,52.39964667264968,78.20319982323926
2026-02-11,65.3014232479324,52.180207207983244,78.42263928788157
2026-02-12,65.30142324792558,51.964377775273945,78.63846872057722
2026-02-13,65.30142324794336,51.751985860741456,78.85086063514527
2026-02-14,65.30142324793566,51.542872267512024,79.0599742283593
2026-02-15,65.3014232479363,51.33688972004323,79.26595677582937
2026-02-16,65.30142324793609,51.13390165018819,79.46894484568398
2026-02-17,65.30142324793685,50.93378113819949,79.66906535767421
2026-02-18,65.30142324793631,50.73640998448814,79.86643651138448
2026-02-19,65.30142324793646,50.541677893245904,80.061168602627
2026-02-20,65.30142324793643,50.34948175172213,80.25336474415072
2026-02-21,65.30142324793646,50.15972499189164,80.44312150398127
2026-02-22,65.30142324793643,49.9723170232405,80.63052947263236
2026-02-23,65.30142324793644,49.78717272724064,80.81567376863224
2026-02-24,65.30142324793644,49.60421200549565,80.99863449037723
2026-02-25,65.30142324793644,49.42335937475881,81.17948712111408
2026-02-26,65.30142324793644,49.24454360301141,81.35830289286147
2026-02-27,65.30142324793644,49.06769738162629,81.5351491142466
2026-02-28,65.30142324793644,48.892757029337005,81.71008946653588
2026-03-01,65.30142324793644,48.7196622243206,81.88318427155228
2026-03-02,65.30142324793644,48.54835576119824,82.05449073467464
2026-03-03,65.30142324793644,48.37878333017822,82.22406316569466
2026-03-04,65.30142324793644,48.21089331592429,82.39195317994859
2026-03-05,65.30142324793644,48.044636614037806,82.55820988183507
2026-03-06,65.30142324793644,47.8799664633044,82.72288003256848
2026-03-07,65.30142324793644,47.7168382920809,82.88600820379199
2026-03-08,65.30142324793644,47.55520957739252,83.04763691848036
2026-03-09,65.30142324793644,47.39503971547798,83.2078067803949
2026-03-10,65.30142324793644,47.23628990266609,83.3665565932068
2026-03-11,65.30142324793644,47.07892302559324,83.52392347027964
2026-03-12,65.30142324793644,46.9229035598822,83.67994293599068
2026-03-13,65.30142324793644,46.768197476498365,83.83464901937452
