,future_pred,lower,upper
2026-01-13,65.32195468652435,62.89106901895154,67.75284035409716
2026-01-14,65.33460050855982,61.840890779996656,68.82831023712298
2026-01-15,65.34777556366384,61.07261878854708,69.6229323387806
2026-01-16,65.34081114572074,60.42920208720771,70.25242020423376
2026-01-17,65.33626663526375,59.841545482376546,70.83098778815096
2026-01-18,65.33689501063728,59.32128379069958,71.35250623057497
2026-01-19,65.33728280265787,58.84320391799403,71.8313616873217
2026-01-20,65.33712228963435,58.39787577462974,72.27636880463896
2026-01-21,65.33706571013707,57.979034283767625,72.69509713650652
2026-01-22,65.3371087736501,57.58304796572552,73.09116958157469
2026-01-23,65.337116625428,57.20627808788467,73.46795516297132
2026-01-24,65.33711080492483,56.8462028904448,73.82801871940487
2026-01-25,65.33710988623449,56.5007800391199,74.17343973334907
2026-01-26,65.33711112274544,56.168369267192205,74.50585297829868
2026-01-27,65.33711109170257,55.8475932433296,74.82662894007554
2026-01-28,65.33711090654417,55.53731163674534,75.136910176343
2026-01-29,65.33711090805801,55.23655701587763,75.4376648002384
2026-01-30,65.33711094369691,54.94450259823213,75.7297192891617
2026-01-31,65.33711093759031,54.66043408654241,76.01378778863821
2026-02-01,65.33711093331156,54.38373023680373,76.2904916298194
2026-02-02,65.33711093417558,54.11384630265215,76.56037556569902
2026-02-03,65.33711093507644,53.85030157994988,76.823920290203
2026-02-04,65.33711093476018,53.59266929707586,77.0815525724445
2026-02-05,65.3371109346826,53.340568533309025,77.33365333605617
2026-02-06,65.33711093472147,53.09365759009643,77.5805642793465
2026-02-07,65.33711093474044,52.851628564746214,77.82259330473465
2026-02-08,65.3371109347283,52.61420284644847,78.06001902300812
2026-02-09,65.33711093472787,52.38112735826451,78.29309451119124
2026-02-10,65.33711093472914,52.15217139582243,78.52205047363586
2026-02-11,65.33711093472947,51.927123952800585,78.74709791665835
2026-02-12,65.33711093472907,51.70579144370202,78.96843042575611
2026-02-13,65.33711093472911,51.48799575442321,79.18622611503501
2026-02-14,65.33711093472914,51.27357256459216,79.40064930486612
2026-02-15,65.33711093472914,51.06236989682428,79.611851972634
2026-02-16,65.33711093472913,50.85424685644067,79.81997501301758
2026-02-17,65.33711093472913,50.64907253196377,80.02514933749448
2026-02-18,65.33711093472913,50.446725032005105,80.22749683745315
2026-02-19,65.33711093472913,50.247090638421554,80.4271312310367
2026-02-20,65.33711093472913,50.05006305903035,80.6241588104279
2026-02-21,65.33711093472913,49.85554276594084,80.81867910351741
2026-02-22,65.33711093472913,49.66343640781072,81.01078546164753
2026-02-23,65.33711093472913,49.47365628617596,81.20056558328228
2026-02-24,65.33711093472913,49.28611988751852,81.38810198193974
2026-02-25,65.33711093472913,49.10074946398799,81.57347240547026
2026-02-26,65.33711093472913,48.91747165673341,81.75675021272484
2026-02-27,65.33711093472913,48.73621715666911,81.93800471278914
2026-02-28,65.33711093472913,48.556920398225564,82.11730147123268
2026-03-01,65.33711093472913,48.37951928224805,82.2947025872102
2026-03-02,65.33711093472913,48.203954924722446,82.47026694473581
2026-03-03,65.33711093472913,48.03017142844552,82.64405044101272
2026-03-04,65.33711093472913,47.858115675129895,82.81610619432836
2026-03-05,65.33711093472913,47.68773713575188,82.98648473370636
2026-03-06,65.33711093472913,47.51898769722298,83.15523417223527
2026-03-07,65.33711093472913,47.35182150369998,83.32240036575827
2026-03-08,65.33711093472913,47.186194811050385,83.48802705840787
2026-03-09,65.33711093472913,47.022065853164264,83.65215601629399
2026-03-10,65.33711093472913,46.85939471895492,83.81482715050333
2026-03-11,65.33711093472913,46.6981432390219,83.97607863043635
2026-03-12,65.33711093472913,46.53827488106481,84.13594698839344
2026-03-13,65.33711093472913,46.37975465323561,84.29446721622264
