epoch,param_name,mean,variance
1,lstm.weight_ih_l0,0.012909278273582458,0.005509008187800646
1,lstm.weight_hh_l0,0.003208484034985304,0.006385055370628834
1,lstm.bias_ih_l0,0.028536679223179817,0.006610679440200329
1,lstm.bias_hh_l0,0.03447418659925461,0.005628812592476606
1,lstm.weight_ih_l1,0.0031945861410349607,0.006584382615983486
1,lstm.weight_hh_l1,0.008378834463655949,0.0063023255206644535
1,lstm.bias_ih_l1,0.03038986213505268,0.005787761881947517
1,lstm.bias_hh_l1,0.026738997548818588,0.005785188637673855
1,fc.0.weight,0.013581832870841026,0.016297120600938797
1,fc.0.bias,0.046734102070331573,0.006041357293725014
1,fc.3.weight,0.07214712351560593,0.025479894131422043
1,fc.3.bias,0.09527342766523361,0.0
2,lstm.weight_ih_l0,0.05058465525507927,0.00889260321855545
2,lstm.weight_hh_l0,0.0004389967944007367,0.005434788763523102
2,lstm.bias_ih_l0,0.002206082222983241,0.0055778962559998035
2,lstm.bias_hh_l0,0.0080852210521698,0.004989653825759888
2,lstm.weight_ih_l1,0.003848894964903593,0.008000003173947334
2,lstm.weight_hh_l1,0.0031701147090643644,0.005851104389876127
2,lstm.bias_ih_l1,0.022269967943429947,0.005991942249238491
2,lstm.bias_hh_l1,0.01863497495651245,0.00601191446185112
2,fc.0.weight,0.026317797601222992,0.039356499910354614
2,fc.0.bias,0.08160059154033661,0.015321253798902035
2,fc.3.weight,0.12766671180725098,0.04884956032037735
2,fc.3.bias,0.11127136647701263,0.0
3,lstm.weight_ih_l0,0.04883984476327896,0.009305432438850403
3,lstm.weight_hh_l0,-0.0005258848541416228,0.005021222867071629
3,lstm.bias_ih_l0,-0.008736519142985344,0.005592037923634052
3,lstm.bias_hh_l0,-0.0028773685917258263,0.005078411661088467
3,lstm.weight_ih_l1,0.005510581657290459,0.009455006569623947
3,lstm.weight_hh_l1,0.002445414662361145,0.005709990859031677
3,lstm.bias_ih_l1,0.01926080323755741,0.006078951992094517
3,lstm.bias_hh_l1,0.01564827933907509,0.006125699728727341
3,fc.0.weight,0.03225076198577881,0.04764028266072273
3,fc.0.bias,0.10208378732204437,0.017323821783065796
3,fc.3.weight,0.15173883736133575,0.05451597273349762
3,fc.3.bias,0.1253102570772171,0.0
4,lstm.weight_ih_l0,0.04776491969823837,0.009700411930680275
4,lstm.weight_hh_l0,-0.0009291693568229675,0.0048799943178892136
4,lstm.bias_ih_l0,-0.01231548935174942,0.005600678268820047
4,lstm.bias_hh_l0,-0.006467536091804504,0.005104419309645891
4,lstm.weight_ih_l1,0.00675076711922884,0.010471518151462078
4,lstm.weight_hh_l1,0.001782344887033105,0.005606424063444138
4,lstm.bias_ih_l1,0.017163708806037903,0.006254115141928196
4,lstm.bias_hh_l1,0.013569464907050133,0.006333763711154461
4,fc.0.weight,0.03717971593141556,0.0544666089117527
4,fc.0.bias,0.12286761403083801,0.022427255287766457
4,fc.3.weight,0.17134808003902435,0.05662918463349342
4,fc.3.bias,0.13759581744670868,0.0
5,lstm.weight_ih_l0,0.04807143285870552,0.010341865941882133
5,lstm.weight_hh_l0,-0.0011646620696410537,0.00487949512898922
5,lstm.bias_ih_l0,-0.013668742030858994,0.005658535286784172
5,lstm.bias_hh_l0,-0.00782637856900692,0.0051390198059380054
5,lstm.weight_ih_l1,0.008092663250863552,0.011074286885559559
5,lstm.weight_hh_l1,0.001637859852053225,0.005562933627516031
5,lstm.bias_ih_l1,0.016792576760053635,0.006294929422438145
5,lstm.bias_hh_l1,0.013213824480772018,0.0063687474466860294
5,fc.0.weight,0.03846104443073273,0.05660388246178627
5,fc.0.bias,0.12702715396881104,0.023841794580221176
5,fc.3.weight,0.17590036988258362,0.05788841471076012
5,fc.3.bias,0.1528933048248291,0.0
6,lstm.weight_ih_l0,0.047645337879657745,0.010683026164770126
6,lstm.weight_hh_l0,-0.0012813349021598697,0.004847913980484009
6,lstm.bias_ih_l0,-0.015545952133834362,0.005623561330139637
6,lstm.bias_hh_l0,-0.009707983583211899,0.005116623360663652
6,lstm.weight_ih_l1,0.008547984063625336,0.011373911052942276
6,lstm.weight_hh_l1,0.0015473675448447466,0.005533149000257254
6,lstm.bias_ih_l1,0.01653176173567772,0.006346686743199825
6,lstm.bias_hh_l1,0.01296612061560154,0.0064092352986335754
6,fc.0.weight,0.03931455686688423,0.05700550228357315
6,fc.0.bias,0.12893801927566528,0.023799464106559753
6,fc.3.weight,0.17871831357479095,0.057531848549842834
6,fc.3.bias,0.17155125737190247,0.0
7,lstm.weight_ih_l0,0.04636240750551224,0.010977676138281822
7,lstm.weight_hh_l0,-0.0015584438806399703,0.00476685119792819
7,lstm.bias_ih_l0,-0.018207091838121414,0.005629022140055895
7,lstm.bias_hh_l0,-0.01237182691693306,0.0052687195129692554
7,lstm.weight_ih_l1,0.008551172912120819,0.011891749687492847
7,lstm.weight_hh_l1,0.0012191401328891516,0.005444380454719067
7,lstm.bias_ih_l1,0.015407158061861992,0.006429995875805616
7,lstm.bias_hh_l1,0.01185216661542654,0.006497029215097427
7,fc.0.weight,0.041216880083084106,0.05920059606432915
7,fc.0.bias,0.13778728246688843,0.02472466044127941
7,fc.3.weight,0.18641237914562225,0.057101715356111526
7,fc.3.bias,0.19206203520298004,0.0
8,lstm.weight_ih_l0,0.04729972779750824,0.011339958757162094
8,lstm.weight_hh_l0,-0.0016333137173205614,0.004712208639830351
8,lstm.bias_ih_l0,-0.019969703629612923,0.005725540220737457
8,lstm.bias_hh_l0,-0.014134157449007034,0.005294209346175194
8,lstm.weight_ih_l1,0.008721528574824333,0.012174539268016815
8,lstm.weight_hh_l1,0.000776139204390347,0.00536864111199975
8,lstm.bias_ih_l1,0.014545942656695843,0.006546247284859419
8,lstm.bias_hh_l1,0.01099885068833828,0.006606038194149733
8,fc.0.weight,0.04168078303337097,0.060042060911655426
